round,apply_round,round_norm,apply_round_norm,client_id,class_index,class_name,count,log_count,class_share,client_total_count,log_client_total_count,client_mean_quality,client_mean_confidence,mean_confidence,mean_objectness,mean_class_confidence,mean_localization_quality,mean_quality,prev_count,prev_log_count,count_ratio,log_count_delta,quality_delta,confidence_delta,objectness_delta,rare_relief,stats_path,client_0,client_1,client_2,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,server_precision,server_recall,server_map50,server_map95,server_map95_prev,server_map95_next,server_map95_delta,server_map95_next_delta,server_map95_best_so_far,server_gap_to_best,future_risk,oracle_risk_score,target_low,target_high,target_nms
1,2,0.0,0.07142857142857142,1,0,person,8743.0,9.076123029856374,0.0639833144278971,136645.0,11.825148919065363,0.7591690978590738,0.6594235619099674,0.5683104519329749,0.5951174723260751,0.9539264782361604,1.0,0.6939640160789344,8743.0,9.076123029856374,1.0,0.0,0.0,0.0,0.0,0.0,/app/Object_Detection/dynamic_quality_aware_classwise_aggregation/stats_dqa05_scene_class_profile_5h/phase2_round001_client1.json,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66112,0.40566,0.45611,0.26188,0.26188,0.26445,0.0,0.0025700000000000167,0.26188,0.0,0.0,0.13208761384290035,0.37905927504543807,0.790791454671038,0.35905927504543805
1,2,0.0,0.07142857142857142,1,1,rider,69.0,4.248495242049359,0.0005049581031139083,136645.0,11.825148919065363,0.7591690978590738,0.6594235619099674,0.4597769474637681,0.7664671082427537,0.6010105298913043,1.0,0.6033840013586957,69.0,4.248495242049359,1.0,0.0,0.0,0.0,0.0,0.724,/app/Object_Detection/dynamic_quality_aware_classwise_aggregation/stats_dqa05_scene_class_profile_5h/phase2_round001_client1.json,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66112,0.40566,0.45611,0.26188,0.26188,0.26445,0.0,0.0025700000000000167,0.26188,0.0,0.0,0.14025257406099964,0.3808555662934199,0.8049395661081432,0.36085556629341986
1,2,0.0,0.07142857142857142,1,2,car,99622.0,11.509148340608697,0.7290570456291852,136645.0,11.825148919065363,0.7591690978590738,0.6594235619099674,0.69185174500628,0.7101550771094425,0.972734659179668,1.0,0.7825038197609623,99622.0,11.509148340608697,1.0,0.0,0.0,0.0,0.0,0.0,/app/Object_Detection/dynamic_quality_aware_classwise_aggregation/stats_dqa05_scene_class_profile_5h/phase2_round001_client1.json,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66112,0.40566,0.45611,0.26188,0.26188,0.26445,0.0,0.0025700000000000167,0.26188,0.0,0.0,0.05589281483221134,0.3622964192630865,0.7622964192630866,0.35
1,2,0.0,0.07142857142857142,1,3,bus,1853.0,7.5251007461258,0.013560686450290899,136645.0,11.825148919065363,0.7591690978590738,0.6594235619099674,0.7061553477468969,0.8175278739291014,0.8568810238043039,1.0,0.7879594534201294,1853.0,7.5251007461258,1.0,0.0,0.0,0.0,0.0,0.0,/app/Object_Detection/dynamic_quality_aware_classwise_aggregation/stats_dqa05_scene_class_profile_5h/phase2_round001_client1.json,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66112,0.40566,0.45611,0.26188,0.26188,0.26445,0.0,0.0025700000000000167,0.26188,0.0,0.0,0.03022239510099979,0.35664892692221994,0.75664892692222,0.35
1,2,0.0,0.07142857142857142,1,4,truck,3567.0,8.1797604936999,0.02610413846097552,136645.0,11.825148919065363,0.7591690978590738,0.6594235619099674,0.6740467359212924,0.8116516335725049,0.8239518858853728,1.0,0.7641440718522218,3567.0,8.1797604936999,1.0,0.0,0.0,0.0,0.0,0.0,/app/Object_Detection/dynamic_quality_aware_classwise_aggregation/stats_dqa05_scene_class_profile_5h/phase2_round001_client1.json,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.66112,0.40566,0.45611,0.26188,0.26188,0.26445,0.0,0.0025700000000000167,0.26188,0.0,0.0,0.057359475627904596,0.36261908463813897,0.7647812566582906,0.35
1,2,0.0,0.07142857142857142,1,5,bike,340.0,5.831882477283517,0.0024881993486772294,136645.0,11.825148919065363,0.7591690978590738,0.6594235619099674,0.4778751148897059,0.6547765395220588,0.735891544117647,1.0,0.6170711741727943,340.0,5.831882477283517,1.0,0.0,0.0,0.0,0.0,0.0,/app/Object_Detection/dynamic_quality_aware_classwise_aggregation/stats_dqa05_scene_class_profile_5h/phase2_round001_client1.json,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.66112,0.40566,0.45611,0.26188,0.26188,0.26445,0.0,0.0025700000000000167,0.26188,0.0,0.0,0.1925194002065994,0.39235426804545187,0.8145718352037071,0.37235426804545185
1,2,0.0,0.07142857142857142,1,6,motor,0.0,0.0,0.0,136645.0,11.825148919065363,0.7591690978590738,0.6594235619099674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,/app/Object_Detection/dynamic_quality_aware_classwise_aggregation/stats_dqa05_scene_class_profile_5h/phase2_round001_client1.json,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.66112,0.40566,0.45611,0.26188,0.26188,0.26445,0.0,0.0025700000000000167,0.26188,0.0,0.0,0.14,0.38079999999999997,0.8108,0.36079999999999995
1,2,0.0,0.07142857142857142,1,7,traffic light,10484.0,9.25770094333602,0.07672435873980021,136645.0,11.825148919065363,0.7591690978590738,0.6594235619099674,0.5039859613086012,0.5240627319382511,0.9613313758614317,1.0,0.6490718022142372,10484.0,9.25770094333602,1.0,0.0,0.0,0.0,0.0,0.0,/app/Object_Detection/dynamic_quality_aware_classwise_aggregation/stats_dqa05_scene_class_profile_5h/phase2_round001_client1.json,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.66112,0.40566,0.45611,0.26188,0.26188,0.26445,0.0,0.0025700000000000167,0.26188,0.0,0.0,0.1779011416701823,0.3891382511674401,0.8069920963200441,0.3691382511674401
1,2,0.0,0.07142857142857142,1,8,traffic sign,11967.0,9.389991700214258,0.08757729884006,136645.0,11.825148919065363,0.7591690978590738,0.6594235619099674,0.5869238958568355,0.6062799203343048,0.966412517234896,1.0,0.708000435442258,11967.0,9.389991700214258,1.0,0.0,0.0,0.0,0.0,0.0,/app/Object_Detection/dynamic_quality_aware_classwise_aggregation/stats_dqa05_scene_class_profile_5h/phase2_round001_client1.json,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.66112,0.40566,0.45611,0.26188,0.26188,0.26445,0.0,0.0025700000000000167,0.26188,0.0,0.0,0.1196437427299511,0.3763216234005892,0.7861397458402812,0.3563216234005892
1,2,0.0,0.07142857142857142,1,9,train,0.0,0.0,0.0,136645.0,11.825148919065363,0.7591690978590738,0.6594235619099674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,/app/Object_Detection/dynamic_quality_aware_classwise_aggregation/stats_dqa05_scene_class_profile_5h/phase2_round001_client1.json,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.66112,0.40566,0.45611,0.26188,0.26188,0.26445,0.0,0.0025700000000000167,0.26188,0.0,0.0,0.14,0.38079999999999997,0.8108,0.36079999999999995
